"merchant_id","merchant_value"
"fraud_Rolfson-Kunde","350"
"fraud_Parker, Nolan and Trantow","335"
"fraud_Effertz LLC","338"
"fraud_Bahringer, Osinski and Block","327"
"fraud_Schumm, Bauch and Ondricka","8"
"fraud_Feil, Hilpert and Koss","454"
"fraud_Nolan-Williamson","238"
"fraud_Bins-Howell","341"
"fraud_Dooley Inc","251"
"fraud_Fadel-Hilpert","532"
"fraud_Bogisich Inc","30"
"fraud_Nicolas, Hills and McGlynn","332"
"fraud_Hintz, Bauch and Smith","458"
"fraud_Champlin and Sons","273"
"fraud_Kling-Ernser","298"
"fraud_Runolfsson and Sons","677"
"fraud_Daugherty LLC","173"
"fraud_Kutch, Hermiston and Farrell","14"